symbol,conid,conidex,exchange
IMPL,483501655,483501655,NASDAQ.NMS
RXST,505227430,505227430,NASDAQ.NMS
HGEN,444864876,444864876,NASDAQ.SCM
LAKE,271092,271092,NASDAQ.NMS
TUEM,463809567,463809567,NASDAQ.SCM
AZRX,249028358,249028358,NASDAQ.SCM
XOS,509704854,509704854,NASDAQ.SCM
GEVO,320228879,320228879,NASDAQ.SCM
NBTX,459951634,459951634,NASDAQ.NMS
PLX,395088941,395088941,AMEX
MRVI,456473636,456473636,NASDAQ.NMS
FNCH,477170870,477170870,NASDAQ.NMS
CRDF,421142478,421142478,NASDAQ.SCM
SUMO,445529135,445529135,NASDAQ.NMS
UGRO,463795710,463795710,NASDAQ.SCM
SWIM,482880511,482880511,NASDAQ.NMS
TLMD,453035175,453035175,NASDAQ.NMS
TDC,46128760,46128760,NYSE
RDHL,119657420,119657420,NASDAQ.NMS
CLVT,365792551,365792551,NYSE
EVLO,317116242,317116242,NASDAQ.NMS
BMEA,482017090,482017090,NASDAQ.NMS
HUIZ,403415359,403415359,NASDAQ.NMS
AEYE,328849154,328849154,NASDAQ.SCM
JG,326398595,326398595,NASDAQ.NMS
RLYB,505227408,505227408,NASDAQ.NMS
SOS,432280833,432280833,NYSE
ZNGA,98760277,98760277,NASDAQ.NMS
VICI,292080616,292080616,NYSE
BBD,28213000,28213000,NYSE
ITUB,58996617,58996617,NYSE
VALE,60581038,60581038,NYSE
ERC,77007193,77007193,AMEX
EAOK,427788887,427788887,BATS
KR,8908,8908,NYSE
DEH,442464653,442464653,NYSE
TETCU,476405539,476405539,NASDAQ.SCM
URA,211651685,211651685,ARCA
BPYPN,403645590,403645590,NASDAQ.NMS
BXMT,127149807,127149807,NYSE
RCHG,456517751,456517751,NASDAQ.SCM
SRL,367504850,367504850,NYSE
SHO PRH,493574759,493574759,NYSE
ISRG,9063285,9063285,NASDAQ.NMS
JJC,303019517,303019517,ARCA
HUM,8251,8251,NYSE
MSD,9862,9862,NYSE
FPA,87254435,87254435,NASDAQ.NMS
EOCW,507620017,507620017,NYSE
IBHA,365334044,365334044,BATS
MINO,513150063,513150063,ARCA
CMSD,354532825,354532825,NYSE
WALDU,476061809,476061809,NASDAQ.SCM
JJS,303019555,303019555,ARCA
GCAC,478015025,478015025,NASDAQ.SCM
CMSC,335479111,335479111,NYSE
IGN,12658200,12658200,ARCA
GPCO,505405576,505405576,NASDAQ.SCM
KAII,481274790,481274790,NASDAQ.SCM
ROCG,511505355,511505355,NASDAQ.SCM
ANAC,480730238,480730238,NYSE
JHMU,227695922,227695922,ARCA
BLUA,477835446,477835446,NYSE
MH PRD,278936111,278936111,NYSE
HTPA,466568180,466568180,NYSE
PRIF PRH,489361458,489361458,NYSE
HERA,484030286,484030286,NASDAQ.SCM
HMLP PRA,291071070,291071070,NYSE
OXLC,82967340,82967340,NASDAQ.NMS
YCBD PRA,388694938,388694938,AMEX
AVGOP,385415643,385415643,NASDAQ.NMS
ASML,117902840,117902840,NASDAQ.NMS
ZS,310621426,310621426,NASDAQ.NMS
ANTM,173962302,173962302,NYSE
MTCH,430252818,430252818,NASDAQ.NMS
MPWR,32106121,32106121,NASDAQ.NMS
TFX,12750,12750,NYSE
RNG,135390580,135390580,NYSE
BNTX,386752917,386752917,NASDAQ.NMS
SE,292735472,292735472,NYSE
BGNE,221232455,221232455,NASDAQ.NMS
AURC,484030283,484030283,NASDAQ.SCM
MCAEU,490852686,490852686,NASDAQ.SCM
ROT,474490558,474490558,NYSE
IGHG,137937806,137937806,BATS
BPYPO,379205631,379205631,NASDAQ.NMS
PEB PRF,344164199,344164199,NYSE
AESC,476994099,476994099,NYSE
DTB,448598578,448598578,NYSE
DTP,390603954,390603954,NYSE
HXL,611167,611167,NYSE
PNRG,4816745,4816745,NASDAQ.SCM
ACIC,459530941,459530941,NYSE
UBP PRK,385817775,385817775,NYSE
MUE,41122107,41122107,NYSE
CIDM,233009142,233009142,NASDAQ.NMS
PENN,4816415,4816415,NASDAQ.NMS
BSCL,319355812,319355812,NASDAQ.NMS
MOHO,390594440,390594440,NASDAQ.NMS
ROOT,452216878,452216878,NASDAQ.NMS
EMB,47649504,47649504,NASDAQ.NMS
HBAN,270018,270018,NASDAQ.NMS
ALNA,294729588,294729588,NASDAQ.NMS
ATOS,314731077,314731077,NASDAQ.SCM
X,13960,13960,NYSE
ZI,425203222,425203222,NASDAQ.NMS
WTRH,341913655,341913655,NASDAQ.NMS
GM,80986742,80986742,NYSE
REKR,363426492,363426492,NASDAQ.SCM
GIS,7616,7616,NYSE
KDMN,241896955,241896955,NASDAQ.NMS
EWJ,253190534,253190534,ARCA
ATUS,280153137,280153137,NYSE
SCHE,71715076,71715076,ARCA
TECS,416854753,416854753,ARCA
GOLD,611060,611060,NYSE
LUMN,446613345,446613345,NYSE
AVTR,366131368,366131368,NYSE
VTA,75911479,75911479,NYSE
PTON,385087203,385087203,NASDAQ.NMS
SQ,212671971,212671971,NYSE
MU,9939,9939,NASDAQ.NMS
INTC,270639,270639,NASDAQ.NMS
RBLX,476026060,476026060,NYSE
FCX,7089,7089,NYSE
HYG,43652089,43652089,ARCA
GME,36285627,36285627,NYSE
CLF,286030327,286030327,NYSE
ZM,361181057,361181057,NASDAQ.NMS
RAYS,513290685,513290685,NASDAQ.NMS
CIM PRA,251279719,251279719,NYSE
ABR PRE,507157329,507157329,NYSE
EJFA,482654023,482654023,NASDAQ.SCM
WHLRL,508645270,508645270,NASDAQ.SCM
VTSI,309220289,309220289,NASDAQ.SCM
DBB,319355727,319355727,ARCA
JSD,88808675,88808675,NYSE
LAUR,264485686,264485686,NASDAQ.NMS
BHK,14486922,14486922,NYSE
UROY,398917965,398917965,NASDAQ.SCM
ALIT,500289412,500289412,NYSE
ASYS,6857425,6857425,NASDAQ.NMS
MAAC,458553460,458553460,NASDAQ.SCM
JIB,513290453,513290453,ARCA
SSPX,513290463,513290463,ARCA
DLR PRK,357194959,357194959,NYSE
FMS,2030556,2030556,NYSE
SUNY,513290476,513290476,ARCA
SITC PRA,337023460,337023460,NYSE
FUSE U,429665008,429665008,NYSE
SMIG,510922780,510922780,ARCA
PDM,72529754,72529754,NYSE
NWN,334902388,334902388,NYSE
WFCF,459090588,459090588,NASDAQ.SCM
ANET,153912055,153912055,NYSE
CIO PRA,250142651,250142651,NYSE
REXR PRC,383604736,383604736,NYSE
EPC,196179389,196179389,NYSE
RCI,1250652,1250652,NYSE
VIA,507487517,507487517,NASDAQ.NMS
SWM,1321497,1321497,NYSE
NGVT,231125622,231125622,NYSE
CERN,267475,267475,NASDAQ.NMS
CNC,13878278,13878278,NYSE
